Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM
14.36,9,9.37,69.96,High
13.9,7,9.48,65.28,Normal
14.32,8,8.68,67.43,Normal
14.6,8,8.88,64.4,Normal
14.01,8,9.67,68.22,Normal
13.04,8,8.21,68.74,Normal
14.28,10,9.86,68.86,High
14.61,9,9.55,67.99,High
14.73,9,10.33,69.79,High
14.47,9,9,66.95,High
14.84,8,9.29,71.26,High
14.71,8,8.64,68.81,Normal
13.65,8,8.67,65.06,Normal
13.78,8,8.4,65.53,Normal
13.76,8,8.91,69.63,Normal
14.14,8,8.69,69.24,Normal
13.99,9,8.71,67.19,Normal
13.47,11,10,69.26,High
14.97,10,9.34,70.18,High
17.8,16,12.83,71.52,Very-High
14.13,11,11.18,70.56,High
15.63,12,11.12,69.43,High
15.21,11,11.11,71.64,High
14.62,7,8.03,64.07,Normal
13.27,10,9.58,69.23,High
12.84,6,5.64,69.78,Normal
13.61,9,8.63,62.65,Normal
13.35,11,9.29,64.97,High
13.07,10,8.84,67.24,Normal
13.7,11,9.99,68.76,High
13.46,12,10.57,70.29,High
12.74,11,9.25,69.95,High
12.61,11,8.8,68.37,High
12.79,11,9.61,71.37,High
13.11,10,9.59,69.19,High
12.77,12,10,71.58,High
13.36,12,10.1,71.77,High
13.24,11,8.66,68.97,High
12.27,7,6.06,68.86,Normal
13.29,8,9.71,69.51,Normal
13.87,8,9.14,65.96,Normal
13.48,8,9.44,71.41,High
12.61,11,8.69,68.82,High
12.64,10,8.07,67.13,Normal
13.04,10,9.38,67.22,High
13.27,8,9.02,67.13,Normal
13.01,11,8.9,68.81,High
13.19,11,8.41,69.56,High
13.04,6,6.77,69.55,Normal
12.95,5,6.69,69.08,Normal
13.28,11,10.41,69.25,High
12.62,11,9.45,63.44,Normal
14.57,12,11.29,73.77,High
12.73,12,10.44,70.95,High
14.75,14,11.48,73.23,Very-High
13.63,11,10.94,72.45,High
14.56,10,11.09,69.5,High
13.75,8,8.62,71.32,Normal
14.09,10,9.07,69.59,High
12.89,6,7.2,64.73,Normal
13.33,9,8.27,70.96,High
13.05,10,7.87,68.79,Normal
12.38,10,8.12,66.36,Normal
14.34,10,8.62,70.12,High
13.68,11,7.88,68.97,High
13.88,9,8.97,72.53,High
13.3,9,8.07,69.84,Normal
12.81,8,8.1,67.59,Normal
12.72,10,8.32,68.01,Normal
12.44,11,8.55,71.53,High
13.68,9,8.27,67.94,Normal
16.53,14,11.59,73.69,Very-High
14.33,12,11.04,73.73,High
13.18,10,10.32,70.1,High
15.07,10,11.63,72.82,High
14.98,13,11.34,74.5,Very-High
14.27,13,10.81,73.84,High
14.55,12,10.67,70.38,High
13.28,10,9.19,71.67,High
13.34,10,8.75,68.6,High
12.46,10,8.39,70.26,High
11.93,9,7.24,67.98,Normal
12.41,11,8.7,71.24,High
12.81,11,9.86,71.13,High
13.55,10,9.27,70.83,High
12.85,9,8.54,70.18,Normal
12.88,11,9.7,71.24,High
12.76,9,8.26,70.39,Normal
12.83,7,7.84,67.78,Normal
15.55,14,11.92,72.41,Very-High
13.31,11,10.14,70.98,High
13.04,10,8.6,71.22,High
13.88,10,8.56,70,High
12.04,10,7.9,71.29,Normal
12.28,11,8.04,69.21,High
12.93,10,8.12,70.64,High
12.84,8,8.58,71.32,Normal
12.17,9,6.92,66.34,Normal
12.63,9,8,68.17,Normal
12.64,10,7.59,70.02,Normal
12.63,11,8.28,67.83,High
15.37,12,11.2,72.71,High
14.8,10,10.33,72.21,High
12.54,10,8.3,69.98,High
12.83,10,8.71,68.24,Normal
11.68,10,7.05,68.67,Normal
11.98,10,7.8,69.02,Normal
12.35,9,8.52,66.16,Normal
12.19,9,7.53,68.26,Normal
12.29,10,7.63,68.84,Normal
11.77,9,7.44,69.06,Normal
11.76,8,7.85,67.07,Normal
12.45,11,7.56,69.17,Normal
12.31,10,7.87,65.6,Normal
12.07,9,7.64,65.13,Normal
12.17,8,7.05,68.33,Normal
11.58,9,7.09,65.76,Normal
14.42,14,10.75,71.01,High
12.92,12,9.97,70.47,High
13.05,8,9.4,66.85,Normal
13.38,13,9.9,69.39,High
13.67,10,8.87,69.42,High
13.62,9,9.27,67.93,High
13.93,10,8.33,68.75,High
12.88,10,8.09,68.27,Normal
13.06,8,8.38,66.73,Normal
13.29,8,8,67.9,Normal
12.74,10,8.3,66.73,Normal
12.58,11,8.18,63.4,Normal
13.12,9,8.29,68.08,Normal
13.28,9,7.48,68.19,Normal
16.03,14,11.8,70.2,Very-High
12.73,10,8.08,70.73,Normal
12.26,9,8.07,67.65,Normal
12.19,9,7.34,68.67,Normal
12.52,9,7.7,69.42,Normal
12.86,10,7.77,70.78,Normal
12.93,11,7.59,69.87,High
12.49,8,8.34,69.3,Normal
12.37,9,7.71,69.46,Normal
11.95,10,7.55,70.01,Normal
12.59,7,7.71,69.15,Normal
12.84,10,8.39,70.27,High
11.64,7,7.08,68.26,Normal
12.06,8,7.39,70.03,Normal
12,8,8.19,63.66,Normal
14.7,12,10.95,71.42,High
14.75,11,10.97,71.66,High
12.17,12,8.08,70.73,High
12.78,12,8.25,71.14,High
11.86,13,8.47,71.1,High
11.7,12,7.44,70.08,Normal
12.1,12,7.2,71.52,High
11.38,11,6.71,68.35,Normal
11.63,11,8.47,72.1,High
13.16,15,10.13,73.41,High
12.98,14,10.18,70.12,High
12.57,11,8.18,71.11,High
